기업 이름,복지 카테고리,복지 혜택
'팀블라인드'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '무료 진료 지정 병원', '통신비 지원', '선택적 복리후생', '주택 지원 대출', '경조사 지원금', '직원 대출 지원', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주 4일 / 주 4.5일 근무', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '도서구입비 지원', '어학 교육비 지원', '자격증 취득 지원', '멘토링 제도 운영']"
'(주)에스피에이치'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['체력단련비 지원', '건강검진 지원 (본인/배우자)', '웰컴키트 지급', '식비지원', '재택 근무제도', '주 4일 / 주 4.5일 근무', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '생일 선물 지원', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '연차 수당', '반차 및 시간제 연차 사용', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '도서구입비 지원', '기타 자기계발비 지원']"
'(주)디어코퍼레이션'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '통신비 지원', '자사 제품 직원 할인', '콘도 및 휴양시설 지원', '웰컴키트 지급', '경조사 지원금', '자녀 학자금 지원', '명절 선물 및 귀향비 지원', '선택적 복리후생', '야간 교통비 지원', '주차장 및 주차비 지원', '유류비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '절반 근무 및 문화 데이', '우수사원 금전포상', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '여름 휴가', '반차 및 시간제 연차 사용', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '기타 자기계발비 지원']"
'(주)트레드링스'의 복지,"['(주)트레드링스의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['중ㆍ석식대 무제한 제공', '시차출퇴근제', '도서구매지원', '스낵바 운영', '연차공유제', '대나무숲(건의사항) 운영', '복지카드 연120만원 지급', '종합건강검진 지원', '수평적 조직문화', '직무 교육비 지원', '건강검진 지원 (본인/배우자)', '독감주사 예방접종', '주택 지원 대출', '경조사 지원금', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '자율 및 탄력 근무 제도', '복지카드120만원', '리프레쉬/장기근속 휴가', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '자격증 취득 지원']"
기업 추천 복지,"['팀스파르타(주)의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['도서구입비 무제한 지원', '자기계발비 지원', '여름&겨울 일주일 방학', '건강검진 지원', '생일 기념 반차 및 선물 제공', '사내 스터디 및 소모임 지원', '사내 심리상담 지원', '무제한 유급휴가', '사내상담', '명절 선물 및 귀향비 지원', '자사 제품 직원 할인', '야간 교통비 지원', '청년 내일 채움 공제 지원', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '수면실 및 휴게실 운영', '업무용 소프트 웨어 제공', '도서구입비 지원']"
'(주)노리코리아'의 복지,"['의료/건강', '교통/출퇴근', '급여/보상', '연차/휴가', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '야간 교통비 지원', '자율 및 탄력 근무 제도', '절반 근무 및 문화 데이', '퇴직연금 및 퇴직금', '생일 선물 지원', '반차 및 시간제 연차 사용', '기타 자기계발비 지원']"
'(주)유니메오'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['명절 선물 및 귀향비 지원', '자사 제품 직원 할인', '경조사 지원금', '콘도 및 휴양시설 지원', '야간 교통비 지원', '재택 근무제도', '주 4일 / 주 4.5일 근무', '우리 사주 및 스톡옵션', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '사내 동호회 지원', '애완 동물 친화', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '기타 자기계발비 지원', '자격증 취득 지원']"
'매스웍스코리아(유)'의 복지,['교통/출퇴근'],['재택 근무제도']
'텐센트코리아(유)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '체력단련비 지원', '통신비 지원', '주택 지원 대출', '경조사 지원금', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '야간 교통비 지원', '재택 근무제도', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '우수사원 금전포상', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '생일 선물 지원', '병가 (유급/무급)', '반차 및 시간제 연차 사용', '사내 동호회 지원', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '기타 자기계발비 지원']"
'네이버클라우드(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '사내 병원', '체력단련비 지원', '불임부부 지원', '무료 진료 지정 병원', '경조사 지원금', '콘도 및 휴양시설 지원', '주택 지원 대출', '통신비 지원', '명절 선물 및 귀향비 지원', '직원 대출 지원', '자사 제품 직원 할인', '자녀 학자금 지원', '선택적 복리후생', '웰컴키트 지급', '임신/출산 선물', '재택 근무제도', '자율 및 탄력 근무 제도', '통근버스 운행', '주차장 및 주차비 지원', '야간 교통비 지원', '연차 수당', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '우리 사주 및 스톡옵션', '생일 선물 지원', '우수사원 금전포상', '퇴직연금 및 퇴직금', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '리프레쉬/장기근속 휴가', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '병가 (유급/무급)', '휴직 (유급/무급)', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '업무용 소프트 웨어 제공', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '어린이집 지원/운영', '사내 동호회 지원', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '멘토링 제도 운영']"
'(주)피알앤디컴퍼니'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '자사 제품 직원 할인', '웰컴키트 지급', '야간 교통비 지원', '주 4일 / 주 4.5일 근무', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '유류비 지원', '절반 근무 및 문화 데이', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '연차 수당', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '병가 (유급/무급)', '여름 휴가', '본인 출산 휴가', '배우자 출산 휴가', '리프레쉬/장기근속 휴가', '육아 휴직', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '구내 식당 및 카페테리아 운영', '도서구입비 지원', '자격증 취득 지원', '기타 자기계발비 지원']"
'(주)화이트큐브'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '웰컴키트 지급', '통신비 지원', '명절 선물 및 귀향비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '우리 사주 및 스톡옵션', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '도서구입비 지원', '기타 자기계발비 지원']"
,,
'(주)와탭랩스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '자율 및 탄력 근무 제도', '야간 교통비 지원', '장기근속자 금전포상', '개인 법인카드 사용', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '휴직 (유급/무급)', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '도서구입비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원']"
,,
'에스에이피랩스코리아(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '경조사 지원금', '통신비 지원', '명절 선물 및 귀향비 지원', '선택적 복리후생', '야간 교통비 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '재택 근무제도']"
'(주)스켈터랩스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['건강검진 지원 (본인/배우자)', '주택 지원 대출', '경조사 지원금', '자율 및 탄력 근무 제도', '재택 근무제도', '우리 사주 및 스톡옵션', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공']"
