text,label,del_stop,encoding,padding_25,padding_15,padding_10
 언론 북한 태도 돌변 은 한미 대북정책 탓 중국 배후설은 유치한 논리 북한 측 양보에 신속히 호응해야 ,0,"['언론', '북한', '태도', '돌변', '한미', '대북', '정책', '중국', '배후', '설은', '유치한', '논리', '북한', '양보', '신속히', '호응']","[312, 27, 1273, 2975, 411, 1061, 530, 22, 1610, 4740, 4741, 2118, 27, 1274, 2976, 2119, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[312, 27, 1273, 2975, 411, 1061, 530, 22, 1610, 4740, 4741, 2118, 27, 1274, 2976, 2119, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4741, 2118, 27, 1274, 2976, 2119, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2119, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
추미애 홍준표 겨냥 한반도 평화 못마땅하다는 사람 있다 일 진도군수 후보 선거사무소 개소식 축사,0,"['추미애', '홍준표', '겨냥', '한반도', '평화', '못마땅하다는', '사람', '진도', '군수', '후보', '선거', '사무소', '개소식', '축사']","[1275, 313, 882, 177, 165, 4742, 52, 2120, 4743, 38, 82, 2121, 4744, 4745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1275, 313, 882, 177, 165, 4742, 52, 2120, 4743, 38, 82, 2121, 4744, 4745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[82, 2121, 4744, 4745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 트럼프 김정은도 만나자는데 예외가 있다 ,0,"['트럼프', '김정은', '만나자는데', '예외']","[14, 81, 4746, 4747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 81, 4746, 4747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
홍준표 전날 정권 남북 평화쇼하다 암초 ,0,"['홍준표', '전날', '정권', '남북', '평화', '암초']","[313, 740, 1276, 119, 165, 4748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[313, 740, 1276, 119, 165, 4748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
남북관계 급제동 판문점 선언 후속조치 어떻게 되나 대화 중단 카드까지 거론 남한이 판문점 선언 취지 위반해 ,0,"['남북관계', '제동', '판문점', '선언', '후속', '조치', '대화', '중단', '카드', '거론', '남한', '판문점', '선언', '취지', '위반']","[2977, 4749, 314, 199, 2122, 360, 883, 213, 631, 1611, 2123, 314, 199, 2978, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2977, 4749, 314, 199, 2122, 360, 883, 213, 631, 1611, 2123, 314, 199, 2978, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2123, 314, 199, 2978, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
세계가 주목한 판문점선언 후속조치 이행 포기는 북한도 부담,0,"['세계', '주목', '판문점', '선언', '후속', '조치', '이행', '포기', '북한', '부담']","[28, 276, 314, 199, 2122, 360, 1612, 1062, 27, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 276, 314, 199, 2122, 360, 1612, 1062, 27, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
갈등 한동안 지속될 듯 일 한미정상회담서 북한 달랠까,0,"['갈등', '한동안', '지속', '한미정상회담', '북한', '달랠까']","[175, 2979, 531, 4750, 27, 4751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[175, 2979, 531, 4750, 27, 4751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 영관급 군인 년여 만에 또 귀순 병사 귀순 지난해 월에도 서울 뉴시스 김지훈 기자 정부가 일 새벽 서해상으로 넘어온 북한 남성 명에 대한 조사를 진행하고 있다 명은 자신이 영관급 군인이라고 밝혔으나 관계 당국은 추가 조사를 해봐야 한다는 입장이다 이들의 주장이 사실로 확인될 경우 지난 년 이후 년여 만의 영관급 군인 귀순이다 ,0,"['영관', '군인', '귀순', '병사', '귀순', '서울', '김지훈', '정부', '새벽', '해상', '북한', '남성', '조사', '진행', '자신', '영관', '군인', '밝혔으나', '관계', '당국', '추가', '조사', '입장', '주장', '확인', '경우', '영관', '군인', '귀순']","[2124, 2125, 2126, 4752, 2126, 2, 4753, 19, 632, 1063, 27, 166, 29, 80, 167, 2124, 2125, 4754, 212, 280, 247, 29, 101, 140, 43, 315, 2124, 2125, 2126]","[2126, 2, 4753, 19, 632, 1063, 27, 166, 29, 80, 167, 2124, 2125, 4754, 212, 280, 247, 29, 101, 140, 43, 315, 2124, 2125, 2126]","[167, 2124, 2125, 4754, 212, 280, 247, 29, 101, 140, 43, 315, 2124, 2125, 2126]","[280, 247, 29, 101, 140, 43, 315, 2124, 2125, 2126]"
 한국 요청에 폭격기 참가 한미 훈련 취소 북미정상회담 앞두고 긴장 초래 우려 ,0,"['한국', '요청', '폭격기', '참가', '한미', '훈련', '취소', '북미', '정상회담', '앞두고', '긴장', '우려']","[3, 234, 741, 281, 411, 102, 737, 46, 73, 282, 532, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 234, 741, 281, 411, 102, 737, 46, 73, 282, 532, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[532, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
맥스선더와 별개의 블루라이트닝 훈련,0,"['블루', '라이트닝', '훈련']","[4755, 2980, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4755, 2980, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 양낙규의 북상공 비행 논란 진실은 아시아경제 양낙규 기자 한미 연합공중훈련인 맥스선더 에 참가한 미국 스텔스전투기를 두고 네티즌들 사이에 논란이 퍼지고 있다 훈련에 스텔스전투기가 참가해 북한이 심기를 건드린 것은 물론 북한 상공까지 비밀리에 비행해 반발을 키웠다는 것이다 ,0,"['북상', '비행', '논란', '진실', '아시아', '경제', '한미', '연합', '공중', '훈련', '참가', '미국', '스텔스', '전투기', '네티즌', '사이', '논란', '훈련', '스텔스', '전투기', '참가', '북한', '심기', '건드린', '북한', '상공', '비밀리', '비행', '반발']","[4756, 316, 8, 2127, 20, 16, 411, 533, 1613, 102, 281, 11, 1614, 633, 1615, 283, 8, 102, 1614, 633, 281, 27, 2981, 4757, 27, 1277, 4758, 316, 359]","[20, 16, 411, 533, 1613, 102, 281, 11, 1614, 633, 1615, 283, 8, 102, 1614, 633, 281, 27, 2981, 4757, 27, 1277, 4758, 316, 359]","[1615, 283, 8, 102, 1614, 633, 281, 27, 2981, 4757, 27, 1277, 4758, 316, 359]","[633, 281, 27, 2981, 4757, 27, 1277, 4758, 316, 359]"
김태호측 김경수 범죄혐의 놓고 소설쓴다 하면 무죄되나 김경수 후보와 민주당 측 드루킹 옥중서신 반박에 재반박,0,"['김태호', '김경수', '범죄', '혐의', '소설', '무죄', '김경수', '후보', '민주당', '옥중', '서신', '반박', '반박']","[1278, 130, 461, 12, 1616, 884, 130, 38, 112, 1617, 4759, 462, 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1278, 130, 461, 12, 1616, 884, 130, 38, 112, 1617, 4759, 462, 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4759, 462, 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
여야 드루킹 특검법안 타결 특검보 명 최장 일 수사 서울경제 문재인 대통령의 최측근인 더불어민주당 김경수 경남지사 후보의 연루 의혹이 있는 드루킹 사건에 대한 특검 수사가 실시된다 ,0,"['여야', '특검', '법안', '타결', '특검', '수사', '서울', '경제', '문재인', '대통령', '최측근', '더불어', '민주당', '김경수', '경남', '지사', '후보', '연루', '의혹', '사건', '특검', '수사', '실시']","[118, 42, 1279, 2982, 42, 32, 2, 16, 309, 15, 2983, 357, 112, 130, 634, 1064, 38, 1280, 120, 121, 42, 32, 463, 0, 0]","[118, 42, 1279, 2982, 42, 32, 2, 16, 309, 15, 2983, 357, 112, 130, 634, 1064, 38, 1280, 120, 121, 42, 32, 463, 0, 0]","[2983, 357, 112, 130, 634, 1064, 38, 1280, 120, 121, 42, 32, 463, 0, 0]","[1064, 38, 1280, 120, 121, 42, 32, 463, 0, 0]"
탈북 허씨 통일부 찾았어도 허사 기획 탈북 맞다 앵커 ,0,"['탈북', '허씨', '통일부', '허사', '기획', '탈북', '맞다']","[885, 4760, 742, 4761, 1618, 885, 4762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[885, 4760, 742, 4761, 1618, 885, 4762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
벼랑 끝 전술 펼치는 의도는 북미빅딜 전 협상력 올리기전문가 이럴 때일수록 정상 간 핫라인 가동해야 ,0,"['벼랑', '전술', '펼치는', '의도', '북미', '빅딜', '협상', '리기', '전문가', '정상', '핫라인', '가동']","[2984, 2128, 2985, 743, 46, 1619, 139, 2986, 744, 53, 2129, 2130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2984, 2128, 2985, 743, 46, 1619, 139, 2986, 744, 53, 2129, 2130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2129, 2130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 풍계리 핵실험장 취재진 명단 접수 거부 앵커 ,0,"['계리', '핵실험', '명단', '접수', '거부']","[534, 413, 1281, 635, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[534, 413, 1281, 635, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
북한이 어제 풍계리 핵실험장 폐기 행사 취재를 위해 정부가 발송한 방북 기자단 명단 수령을 거부했습니다 미국과 영국 등 초청 받은 일부 외신 기자들에게도 비자 발급 등을 위한 안내 조치를 취하지 않은 것으로 알려졌습니다 풍계리 핵실험장 폐기 일정이 연기될 수 있다는 관측도 나옵니다 ,0,"['북한', '계리', '핵실험', '폐기', '행사', '정부', '발송', '방북', '자단', '명단', '수령', '거부', '미국', '영국', '초청', '일부', '외신', '비자', '발급', '안내', '조치', '취하', '계리', '핵실험', '폐기', '일정', '연기', '관측']","[27, 534, 413, 317, 318, 19, 1620, 886, 2987, 1281, 2988, 90, 11, 361, 1282, 64, 1621, 4763, 2989, 2990, 360, 4764, 534, 413, 317, 235, 61, 1065]","[317, 318, 19, 1620, 886, 2987, 1281, 2988, 90, 11, 361, 1282, 64, 1621, 4763, 2989, 2990, 360, 4764, 534, 413, 317, 235, 61, 1065]","[361, 1282, 64, 1621, 4763, 2989, 2990, 360, 4764, 534, 413, 317, 235, 61, 1065]","[2989, 2990, 360, 4764, 534, 413, 317, 235, 61, 1065]"
북한 청와대 적시하며 파렴치 맹비난 회담 재개 난망리선권 조평통 위원장 격한 어조로 비난하며 회담 재개 요청 거부 ,0,"['북한', '청와대', '적시하며', '파렴치', '맹비', '회담', '재개', '난망', '조평통', '위원장', '격', '어조', '비난', '회담', '재개', '요청', '거부']","[27, 1283, 2991, 2992, 2993, 9, 414, 2131, 2994, 200, 2132, 2995, 277, 9, 414, 234, 90, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 1283, 2991, 2992, 2993, 9, 414, 2131, 2994, 200, 2132, 2995, 277, 9, 414, 234, 90, 0, 0, 0, 0, 0, 0, 0, 0]","[2132, 2995, 277, 9, 414, 234, 90, 0, 0, 0, 0, 0, 0, 0, 0]","[234, 90, 0, 0, 0, 0, 0, 0, 0, 0]"
 남측이 터무니없는 유감과 촉구 운운하며 상식 이하로 놀아대고 있어 ,0,"['없는', '유감', '촉구', '상식']","[39, 636, 415, 1284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39, 636, 415, 1284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 엄중 사태 해결되지 않는 한 남한과 다시 마주앉는 일 쉽지 않을 것 ,0,"['엄중', '사태', '해결', '남한', '다시', '쉽지', '않을']","[2133, 406, 464, 2123, 178, 1285, 2134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2133, 406, 464, 2123, 178, 1285, 2134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
드루킹 옥중편지 김경수에 속았다 에 보낸 편지 용지 장 분량 ,0,"['옥중', '편지', '김경수', '보낸', '편지', '용지', '분량']","[1617, 887, 130, 1066, 887, 4765, 4766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1617, 887, 130, 1066, 887, 4765, 4766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 추락사고 조사결과 발표 조종사가 안전고도 놓쳐 발생 종합 공군 비행착각의 원인 중 하나인 조종사 상황인식 상실로 발생 ,0,"['추락사고', '조사', '결과', '발표', '조종사', '안전', '고도', '놓쳐', '발생', '공군', '비행', '착각', '원인', '하나', '조종사', '상황', '인식', '상실', '발생']","[2996, 29, 40, 33, 1622, 248, 2135, 4767, 103, 1623, 316, 4768, 465, 201, 1622, 113, 1067, 2997, 103, 0, 0, 0, 0, 0, 0]","[2996, 29, 40, 33, 1622, 248, 2135, 4767, 103, 1623, 316, 4768, 465, 201, 1622, 113, 1067, 2997, 103, 0, 0, 0, 0, 0, 0]","[316, 4768, 465, 201, 1622, 113, 1067, 2997, 103, 0, 0, 0, 0, 0, 0]","[113, 1067, 2997, 103, 0, 0, 0, 0, 0, 0]"
통일부 핵실험장 폐기 취재 기자단 명단 접수 안해 종합 남북고위급회담 일방 연기하며 대남 비난 상황 영향인 듯 ,0,"['통일부', '핵실험', '폐기', '자단', '명단', '접수', '안해', '남북', '고위', '회담', '연기', '대남', '비난', '상황', '영향']","[742, 413, 317, 2987, 1281, 635, 1624, 119, 319, 9, 61, 4769, 277, 113, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[742, 413, 317, 2987, 1281, 635, 1624, 119, 319, 9, 61, 4769, 277, 113, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[61, 4769, 277, 113, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 총리 기념사 중 울컥 심판 피하지 못할 것 종합 제 주년 민주화운동 기념식 대통령 대신 참석,0,"['총리', '기념', '울컥', '심판', '피하', '주년', '민주화', '운동', '기념', '대통령', '대신', '참석']","[362, 363, 4770, 4771, 2136, 466, 2998, 131, 363, 15, 320, 535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[362, 363, 4770, 4771, 2136, 466, 2998, 131, 363, 15, 320, 535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[320, 535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 책임져야 할 사람이 사실을 왜곡하고 광주 명예 훼손 ,0,"['책임져야', '사람', '광주', '명예', '훼손']","[4772, 52, 467, 1286, 2999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4772, 52, 467, 1286, 2999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 풍계리 폐기 기자 명단 수령 거부 진의는 앵커 ,0,"['계리', '폐기', '명단', '수령', '거부']","[534, 317, 1281, 2988, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[534, 317, 1281, 2988, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 종합 김경수 드루킹 옥중편지 에 황당하고 어처구니 없는 소설 거리낄 게 있다면 특검 주장하고 선거 나왔겠나 ,0,"['김경수', '옥중', '편지', '황당하고', '어처구니', '없는', '소설', '거리', '낄', '특검', '주장', '선거', '나왔겠나']","[130, 1617, 887, 4773, 4774, 39, 1616, 1068, 4775, 42, 140, 82, 4776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[130, 1617, 887, 4773, 4774, 39, 1616, 1068, 4775, 42, 140, 82, 4776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[140, 82, 4776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
