train_id_1,train_id_2,train_id_3,train_id_4,train_id_5
,zoo,menganalisis,manusia,alam
,domain,gejala,sunting,ekonomi
,superkerajaan,persebaran,sumber,demografi
,superkelas,artinya,secara,busana
,superordo,bentang,garis,olahraga
,supertribus,deskripsi,besar,boga
,filum,untuk,terdiri,kesusastraan
,divisi,menggambarkan,juga,bahasa
,legion,ptolemeus,disebut,pula
,familia,juga,antropol,bacaan
,genus,merancang,somatologi,lanjutan
,upakerajaan,menyediakan,memelajari,sejak
,upakelas,petu,keberag,tahun
,upaordo,bangsa,ekologi,nama
,upatribus,yunani,perilaku,menjadi
,upaspesies,pertama,antropometri,lebih
,infrafilum,diken,primatologi,artikel
,bot,setelah,primata,utama
,parvkelas,mulai,bukan,bagian
,parvordo,dikenal,molekuler,adalah
,forma,seba,su,nusantara
,,barat,etnolinguistik,abad
,,selama,me,kapal
,,disiplin,etnopsikologi,dagang
,,geo,kep,telah
,,determinisme,koentjaraninggrat,kedatangan
,,mencoba,menyusun,pedagang
,,revolusi,perkembangan,arab
,,usaha,rangkaian,persia
,,unt,sains,peta
,,pengaruh,formal,berkisar
,,lainnya,matematika,lukisan
,,marxis,statistika,kekaisaran
,,hubungan,fisika,yang
,,kunci,modern,menggambarkan
,,sistematis,komputasi,spanyol
,,ant,nuklir,pada
,,analitis,eksperimen,hanya
,,menjawab,benda,sulawesi
,,kenapa,terkondensasi,utara
,,ditemukan,mekanika,perancis
,,suatu,klasik,menaklukan
,,mas,kontinuum,repu
,,artikel,padat,jepang
,,bagian,plasma,berakhir
,,geograf,relativitas,ketika
,,topik,umum,orang
,,terkait,teori,eropa
,,atmosfer,dawai,datang
,,kepulauan,kimia,membentuk
,,benua,alkimia,sebuah
,,negara,astrokimia,komite
,,dunia,kristalografi,usaha
,,masa,pangan,berdarah
,,muncul,hijau,meredam
,,sebagai,bahan,pergerakan
,,kerja,fotokimia,hatta
,,carl,radiokimia,sukarno
,,penelitian,stereokimia,sjahrir
,,bencana,permukaan,tiga
,,dimulai,astronomi,pendiri
,,oleh,kosmologi,indo
,,gilbert,geologi,soeharto
,,mencari,planet,menerapkan
,,penjelasan,bintang,neoliberal
,,bagaimana,meteorologi,ber
,,apa,geodesi,kini
,,dibalik,geomorfologi,mengalami
,,nama,glasiologi,masalah
,,ka,limnologi,masala
,,tentu,paleoklimatologi,politik
,,saja,palinologi,pemerintahan
,,akibat,edafologi,gedung
,,filosofi,luar,mpr
,,sauer,angkasa,dpr
,,pembentuk,astrobiologi,menjalankan
,,pemik,biogeografi,pr
,,penginderaan,evolusioner,lembaga
,,jauh,konservasi,eksekutif
,,awalnya,tanah,berpusat
,,kurang,bioteknologi,waki
,,dipandan,etologi,mantan
,,manual,genetika,susilo
,,kadangkala,imunologi,bambang
,,dilakukan,neurosains,yudho
,,dengan,parasitologi,menjalin
,,atau,sistematika,kembali
,,pemetaan,teknik,dengan
,,represent,biologis,rep
,,sistem,kriminologi,tentara
,,informasi,geografi,terdiri
,,geografis,hukum,tni
,,bidang,politik,ad
,,perencanaan,rekayasa,provins
,,kota,dirgantara,aceh
,,menggunakan,komputer,barat
,,tahun,listrik,kep
,,an,militer,bangka
,,gerakan,perangkat,jambi
,,muncu,lunak,selatan
,,indonesia,pertambangan,lampung
,,perguruan,riset,dki
,,tinggi,operasi,jakarta
,,membuka,sipil,tengah
,,pr,kesehatan,jawa
,,ui,farmasi,bali
,,menjadi,gigi,timur
,,jurusan,keperawatan,maluku
,,fakultas,perawatan,saat
,,bakosurtanal,antardisiplin,secara
,,satu,kecerdasan,de
,,lembaga,buatan,facto
,,pemerintah,bioinformatika,dar
,,no,biostatistika,sumatera
,,aziz,sistem,banda
,,ab,kompleks,padang
,,saber,lingkungan,kepulauan
,,eberhard,psikologi,riau
,,august,syaraf,tanjungpinang
,,wilhelm,permodelan,palembang
,,zimmermann,ilmiah,bengkulu
,,prince,sosiobiologi,banten
,,roland,perencanaan,serang
,,bonaparte,kota,semarang
,,lihat,portal,surabaya
,,pula,sekitar,nusa
,,fakta,bangsa,tenggara
,,pranala,di,denpasar
,,luar,eropa,kupang
,,badan,kedua,kalimantan
,,koordinasi,pada,pontianak
,,survei,ini,banjarmasin
,,pemeta,antopologi,tanjung
,,meteorologi,akademis,selor
,,geofisika,negara,manado
,,bmg,berlomba,palu
,,buana,berkembang,makassar
,,katulistiwa,namun,sofifi
,,bk,saat,papua
,,apl,itu,manokwari
,,sosial,muncul,medan
,,antropologi,semangat,pekan
,,komunikasi,nasi,bandung
,,portal,kanibalisme,yogyak
,,indeks,kebudayaan,mataram
,,publikasi,integrasi,ambon
,,,indonesia,jayapura
,,,fundamental,geograf
,,,theory,air
,,,of,terjun
,,,ppt,madakaripura
,,,,di
,,,,taman
,,,,brom
,,,,wilayah
,,,,terbentang
,,,,sepanjang
,,,,negara
,,,,malaysia
,,,,perbatasan
,,,,australia
,,,,timor
,,,,leste
,,,,samudra
,,,,ind
,,,,nugini
,,,,sepanjan
,,,,berupa
,,,,minyak
,,,,bumi
,,,,pendidi
,,,,menunjukkan
,,,,produk
,,,,domestik
,,,,regional
,,,,juta
,,,,sistem
,,,,awalnya
,,,,didukung
,,,,deng
,,,,uang
,,,,cukup
,,,,stabil
,,,,rekan
,,,,perdagangan
,,,,je
,,,,organisasi
,,,,peringkat
,,,,indeks
,,,,kebebasan
,,,,the
,,,,economist
,,,,pers
,,,,transparency
,,,,international
,,,,pembangunan
,,,,manusia
,,,,forum
,,,,dunia
,,,,demogra
,,,,menurut
,,,,penduduk
,,,,memili
,,,,islam
,,,,agama
,,,,mayoritas
,,,,dipeluk
,,,,populasi
,,,,provinsi
,,,,tidak
,,,,termasuk
,,,,kebudayaan
,,,,pertunjukan
,,,,memiliki
,,,,sekitar
,,,,kelompok
,,,,etnis
,,,,seorang
,,,,gadis
,,,,mengenakan
,,,,song
,,,,arsitektur
,,,,candi
,,,,prambanan
,,,,berasal
,,,,masa
,,,,ciri
,,,,khas
,,,,kuno
,,,,masih
,,,,dapa
,,,,olahrag
,,,,paling
,,,,populer
,,,,adal
,,,,seni
,,,,musik
,,,,baik
,,,,tradisional
,,,,maup
,,,,alat
,,,,merupakan
,,,,mus
,,,,bende
,,,,dermenan
,,,,gandang
,,,,tabuik
,,,,gendang
,,,,karo
,,,,gondang
,,,,sunda
,,,,gong
,,,,lambus
,,,,kecapi
,,,,suling
,,,,kendang
,,,,kulintang
,,,,rebana
,,,,saron
,,,,serunai
,,,,lembang
,,,,tanggetong
,,,,beberapa
,,,,makanan
,,,,soto
,,,,ayam
,,,,sate
,,,,tem
,,,,rumah
,,,,makan
,,,,menyajikan
,,,,nasi
,,,,perfilm
,,,,film
,,,,pertama
,,,,diproduksi
,,,,kalinya
,,,,bukti
,,,,tulisan
,,,,tertua
,,,,berba
,,,,meningkat
,,,,setelah
,,,,inggris
,,,,sebagai
,,,,internasional
,,,,te
,,,,lingkungan
,,,,hidup
,,,,rafflesia
,,,,arnoldii
,,,,bunga
,,,,keanekaragaman
,,,,makh
,,,,mafilindo
,,,,referensi
,,,,hasil
,,,,data
,,,,agregrat
,,,,pe
,,,,gini
,,,,index
,,,,dalam
,,,,world
,,,,jumlah
,,,,pulau
,,,,berkurang
,,,,biro
,,,,pusat
,,,,statistik
,,,,bps
,,,,go
,,,,leo
,,,,suryadinata
,,,,evi
,,,,nurvidya
,,,,arifin
,,,,aris
,,,,anshory
,,,,irfan
,,,,agustus
,,,,asal
,,,,logan
,,,,james
,,,,richardson
,,,,ethnolo
,,,,taylor
,,,,pp
,,,,ricklefs
,,,,kong
,,,,yuanzhi
,,,,muslim
,,,,tionghoa
,,,,cheng
,,,,ho
,,,,mis
,,,,history
,,,,of
,,,,modern
,,,,van
,,,,der
,,,,bijl
,,,,nick
,,,,confrontation
,,,,war
,,,,laporan
,,,,carter
,,,,center
,,,,cente
,,,,wong
,,,,kristina
,,,,july
,,,,abc
,,,,news
,,,,pol
,,,,temporarily
,,,,withdrew
,,,,from
,,,,un
,,,,commemoration
,,,,3rd
,,,,anniversary
,,,,bombing
,,,,chew
,,,,amy
,,,,military
,,,,friend
,,,,flashpoints
,,,,bbc
,,,,lateline
,,,,tv
,,,,current
,,,,affairs
,,,,april
,,,,diakses
,,,,tanggal
,,,,bab
,,,,xiv
,,,,othe
,,,,burr
,,,,evans
,,,,ford
,,,,an
,,,,monetary
,,,,fund
,,,,estimate
,,,,bank
,,,,country
,,,,stud
,,,,schwarz
,,,,nation
,,,,in
,,,,wait
,,,,poverty
,,,,always
,,,,with
,,,,them
,,,,th
,,,,badan
,,,,making
,,,,new
,,,,work
,,,,fo
,,,,factbook
,,,,at
,,,,glance
,,,,pdf
,,,,dev
,,,,economic
,,,,freedom
,,,,heritage
,,,,worldwide
,,,,press
,,,,human
,,,,development
,,,,reports
,,,,unit
,,,,indonesian
,,,,central
,,,,statistics
,,,,bureau
,,,,jun
,,,,calder
,,,,joshua
,,,,most
,,,,populous
,,,,heriyanto
,,,,august
,,,,witton
,,,,patrick
,,,,melbourne
,,,,afriatni
,,,,ami
,,,,petinju
,,,,chris
,,,,john
,,,,sukses
,,,,per
,,,,radhar
,,,,panca
,,,,dahana
,,,,kamis
,,,,brissendon
,,,,rosemary
,,,,south
,,,,east
,,,,asia
,,,,kristianto
,,,,jb
,,,,juli
,,,,sepuluh
,,,,vickers
,,,,internet
,,,,stats
,,,,usage
,,,,uud
,,,,xv
,,,,pasal
,,,,asian
,,,,linguistic
,,,,maps
,,,,brunei
,,,,rencana
,,,,penghapusan
,,,,pelajaran
,,,,population
,,,,houss
,,,,pembelajaran
,,,,http
,,,,www
,,,,presidensby
,,,,info
,,,,php
,,,,fokus
,,,,sinarharapan
,,,,co
,,,,berita
,,,,destinies
,,,,harva
,,,,waiting
,,,,indon
,,,,adrian
,,,,pranala
,,,,wikimedia
,,,,commons
,,,,galeri
,,,,mengenai
,,,,atlas
,,,,kantor
,,,,antara
,,,,peringatan
,,,,kebangkitan
,,,,pariwisata
,,,,studies
,,,,topik
,,,,kerajaan
,,,,hindu
,,,,buddha
,,,,era
,,,,portugis
,,,,proklamasi
,,,,orde
,,,,lama
,,,,dekrit
,,,,gerakan
,,,,september
,,,,integrasi
,,,,bendungan
,,,,waduk
,,,,gunung
,,,,pegunungan
,,,,laut
,,,,selat
,,,,ujung
,,,,titik
,,,,garis
,,,,pangkal
,,,,dpd
,,,,mk
,,,,bpk
,,,,kepolisian
,,,,administratif
,,,,kecamatan
,,,,kelurahan
,,,,desa
,,,,hukum
,,,,pemilu
,,,,kewarganegaraan
,,,,apbd
,,,,pasar
,,,,modal
,,,,bursa
,,,,efek
,,,,sains
,,,,teknologi
,,,,suku
,,,,tokoh
,,,,tari
,,,,masakan
,,,,pendidikan
,,,,daerah
,,,,pelabuhan
,,,,terminal
,,,,warisan
,,,,budaya
,,,,wayang
,,,,keris
,,,,saman
,,,,simbol
,,,,sang
,,,,saka
,,,,merah
,,,,putih
,,,,ibu
,,,,pertiwi
,,,,flora
,,,,fauna
,,,,burung
,,,,tumbuhan
,,,,suaka
,,,,margasatwa
,,,,terumbu
,,,,karang
,,,,telekomunikasi
,,,,televisi
,,,,lokal
,,,,radio
,,,,kode
,,,,telepon
,,,,kodepos
,,,,geografis
,,,,aljazair
,,,,maroko
,,,,tunisia
,,,,lainnya
,,,,botswana
,,,,etiopia
,,,,kenya
,,,,madagaskar
,,,,mauritius
,,,,nigeria
,,,,somalia
,,,,tanzania
,,,,amerika
,,,,bolivia
,,,,chili
,,,,guyana
,,,,paraguay
,,,,suriname
,,,,venezuela
,,,,belize
,,,,guatemala
,,,,honduras
,,,,kosta
,,,,rika
,,,,nikaragua
,,,,kuba
,,,,bangladesh
,,,,india
,,,,nepal
,,,,sri
,,,,lanka
,,,,filipina
,,,,laos
,,,,myanmar
,,,,thailand
,,,,vietnam
,,,,korea
,,,,tiongkok
,,,,bahrain
,,,,iran
,,,,kuwait
,,,,oman
,,,,qatar
,,,,turki
,,,,yaman
,,,,armenia
,,,,kazakhstan
,,,,uzbekistan
,,,,uni
,,,,austria
,,,,belgia
,,,,bulgaria
,,,,denmark
,,,,finlandia
,,,,irlandia
,,,,jerman
,,,,latvia
,,,,luksemburg
,,,,portugal
,,,,siprus
,,,,slovenia
,,,,swedia
,,,,bosnia
,,,,herzegovina
,,,,montenegro
,,,,rusia
,,,,swiss
,,,,vatikan
,,,,oseania
,,,,palau
,,,,samoa
,,,,tonga
,,,,multilateral
,,,,apec
,,,,asean
,,,,oki
,,,,terkait
,,,,kementerian
,,,,diaspora
,,,,situs
,,,,web
,,,,berdaulat
,,,,afganistan
,,,,armenia1
,,,,bhutan
,,,,irak
,,,,israel
,,,,kamboja
,,,,kirgizstan
,,,,maladewa
,,,,mesir3
,,,,singapura
,,,,tajikistan
,,,,leste2
,,,,turki3
,,,,emirat
,,,,yordania
,,,,pengakuan
,,,,terbatas
,,,,abkhazia1
,,,,ossetia
,,,,selatan1
,,,,utara1
,,,,dependensi
,,,,hong
,,,,natal
,,,,cocos
,,,,kee
,,,,separatis
,,,,chinland
,,,,nagaland
,,,,banding
,,,,isu
,,,,kritik
,,,,kuota
,,,,perjanjian
,,,,general
,,,,agreement
,,,,on
,,,,tariffs
,,,,and
,,,,trade
,,,,sanitary
,,,,phytosanitary
,,,,measures
,,,,related
,,,,investment
,,,,aspects
,,,,intellectual
,,,,property
,,,,information
,,,,technology
,,,,deklarasi
,,,,doha
,,,,menteri
,,,,roberto
,,,,azevêdo
,,,,direktur
,,,,jenderal
,,,,terpilih
,,,,wakil
,,,,alejandro
,,,,jara
,,,,harsha
,,,,singh
,,,,albania
,,,,angola
,,,,argentina
,,,,brasil
,,,,burkina
,,,,faso
,,,,burundi
,,,,kamerun
,,,,verde
,,,,chad
,,,,kolombia
,,,,kongo
,,,,côte
,,,,ivoire
,,,,djibouti
,,,,dominika
,,,,mesir
,,,,eropa¹
,,,,gabon
,,,,georgia
,,,,grenada
,,,,guinea
,,,,islandia
,,,,jamaika
,,,,liechtenstein
,,,,makedonia
,,,,malawi
,,,,mauritania
,,,,meksiko
,,,,mongolia
,,,,namibia
,,,,selandia
,,,,baru
,,,,niger
,,,,norwegia
,,,,pakistan
,,,,peru
,,,,rwanda
,,,,st
,,,,lucia
,,,,senegal
,,,,afrika
,,,,uganda
,,,,uruguay
,,,,zimbabwe
,,,,kroasia
,,,,ceko
,,,,estonia
,,,,yunani
,,,,slovakia
,,,,britania
,,,,khusus
,,,,rakya
,,,,pemantau
,,,,liga
,,,,perserikatan
,,,,bangsa
,,,,kerja
,,,,sama
,,,,herzegovin
,,,,komunitas
,,,,parlemen
,,,,pasifik
,,,,kanada
,,,,serikat
,,,,sau
,,,,perhimpunan
,,,,ktt
,,,,asem
,,,,gnd
,,,,bnf
,,,,cb15323043s
