,key,value
485,받아,485
486,해야,486
487,진짜,487
488,실비,488
489,스트레스,489
490,엄마,490
491,께,491
492,요즘,492
493,내,493
494,학교,494
495,될까,495
496,있을까요,496
497,안녕하세요,497
498,싶은데,498
499,해도,499
500,비용,500
501,곳,501
502,이고,502
503,먹으면,503
504,친구,504
505,지,505
506,시,506
507,걱정,507
508,라,508
509,방법,509
510,방문,510
511,개,511
512,없이,512
513,급,513
514,에는,514
515,느낌,515
516,있고,516
517,원래,517
518,라고,518
519,아무,519
520,있어서,520
521,집,521
522,받은,522
523,개월,523
524,잠,524
525,않고,525
526,일이,526
527,궁금합니다,527
528,대,528
529,입원,529
530,경우,530
531,다시,531
532,힘들어서,532
533,판정,533
534,몸,534
535,알려주세요,535
536,있어요,536
537,감정,537
538,관련,538
539,이라,539
540,도움,540
541,이유,541
542,불이익,542
543,이야기,543
544,라는,544
545,성,545
546,가능한가요,546
547,주변,547
548,같습니다,548
549,상황,549
550,자해,550
551,하지,551
552,보다,552
553,이제,553
554,불안장애,554
555,있으면,555
556,답변,556
557,과는,557
558,밖에,558
559,심리상담,559
560,아직,560
561,받아서,561
562,아침,562
563,집중,563
564,공황장애,564
565,이후,565
566,청구,566
567,두,567
568,큰,568
569,아닌,569
570,센터,570
571,재검,571
572,갑자기,572
573,께서,573
574,대학,574
575,돈,575
576,뒤,576
577,심리,577
578,가족,578
579,소견,579
580,청소년,580
581,꼭,581
582,작년,582
583,대해,583
584,미성년,584
585,좋은,585
586,하게,586
587,영향,587
588,매일,588
589,부탁드립니다,589
590,장애,590
591,성인,591
592,불면증,592
593,힘든,593
594,이라고,594
595,대학병원,595
596,받았습니다,596
597,보니,597
598,말씀,598
599,약도,599
600,저녁,600
601,식,601
602,엄청,602
603,사회,603
604,않습니다,604
605,병,605
606,아니라,606
607,수면제,607
608,자꾸,608
609,시작,609
610,이미,610
611,님,611
612,글,612
613,이에요,613
614,좋을까요,614
615,먹는,615
616,기간,616
617,화,617
618,공황,618
619,처럼,619
620,가는,620
621,어머니,621
622,다니고,622
623,세,623
624,간호사,624
625,막,625
626,괜찮을까요,626
627,받았는데,627
628,여러,628
629,싶습니다,629
630,뭔가,630
631,이라도,631
632,년도,632
633,년전,633
634,신,634
635,여자,635
636,그게,636
637,데,637
638,자주,638
639,없는데,639
640,인해,640
641,따로,641
642,학년,642
643,있다고,643
644,그렇게,644
645,하더라구요,645
646,갔는데,646
647,환자,647
648,단,648
649,같아,649
650,해결,650
651,기억,651
652,기,652
653,제출,653
654,고지,654
655,모든,655
656,힘들어요,656
657,들고,657
658,술,658
659,그거,659
660,동반,660
661,연락,661
662,눈물,662
663,초진,663
664,이력,664
665,어릴,665
666,쌤,666
667,듭니,667
668,반,668
669,위해,669
670,싶어요,670
671,서류,671
672,아버지,672
673,솔직히,673
674,항우울제,674
675,자존감,675
676,보호자,676
677,결과,677
678,자고,678
679,내과,679
680,하다가,680
681,복무,681
682,수면,682
683,한다고,683
684,심장,684
685,준비,685
686,있는지,686
687,아니고,687
688,생활,688
689,증세,689
690,된다고,690
691,로는,691
692,온,692
693,의원,693
694,없나요,694
695,이름,695
696,않아요,696
697,강박증,697
698,확인,698
699,에요,699
700,하려고,700
701,의심,701
702,먼저,702
703,하는게,703
704,있다면,704
705,토,705
706,없어요,706
707,심하게,707
708,되고,708
709,저번,709
710,있었는데,710
711,운동,711
712,밥,712
713,먹었는데,713
714,람정,714
715,정상,715
716,힘,716
717,진료기록,717
718,공익,718
719,되어,719
720,일까,720
721,거든요,721
722,봅니다,722
723,역,723
724,받는,724
725,손,725
726,문의,726
727,과도,727
728,감사하겠습니다,728
729,뭔,729
730,여학생,730
731,거나,731
732,받으려고,732
733,병명,733
734,먹어,734
735,없는,735
736,우울하고,736
737,할지,737
738,거기,738
739,대화,739
740,시험,740
741,포함,741
742,하시고,742
743,동의,743
744,지원,744
745,삶,745
746,시도,746
747,캡슐,747
748,조절,748
749,무조건,749
750,나이,750
751,니,751
752,내용,752
753,군대,753
754,현역,754
755,심리검사,755
756,부분,756
757,울,757
758,많아서,758
759,해야하나요,759
760,전화,760
761,점점,761
762,다이어트,762
763,약국,763
764,애,764
765,한약,765
766,할수,766
767,신체검사,767
768,발급,768
769,조울증,769
770,동,770
771,적용,771
772,들어서,772
773,든,773
774,건강,774
775,알프,775
776,식욕,776
777,먹기,777
778,하던데,778
779,추천,779
780,목,780
781,들어,781
782,뇌,782
783,수술,783
784,줄,784
785,종합,785
786,아빠,786
787,학원,787
788,밤,788
789,한의원,789
790,가슴,790
791,지는,791
792,중학교,792
793,화장실,793
794,에만,794
795,일주일,795
796,진행,796
797,코드,797
798,이라는,798
799,반복,799
800,대략,800
801,피부,801
802,서울,802
803,만원,803
804,신청,804
805,먹어야,805
806,양,806
807,책,807
808,꿈,808
809,점,809
810,긴장,810
811,절,811
812,궁금해요,812
813,장기,813
814,현,814
815,사춘기,815
816,몰래,816
817,들었습니다,817
818,검색,818
819,있을,819
820,폭,820
821,하는데요,821
822,있어도,822
823,하는지,823
824,틱,824
825,잡,825
826,되는데,826
827,고등학생,827
828,나서,828
829,동생,829
830,정신병,830
831,재,831
832,하셔서,832
833,아무런,833
834,본인,834
835,자체,835
836,서도,836
837,절대,837
838,싫어서,838
839,암,839
840,취침,840
841,다니면,841
842,해지,842
843,같아서요,843
844,의료,844
845,예정,845
846,불안감,846
847,저하,847
848,마지막,848
849,안좋은,849
850,중반,850
851,늘,851
852,중증,852
853,하십니다,853
854,화가,854
855,가야하나요,855
856,라면,856
857,안된다고,857
858,지속,858
859,심해져서,859
860,이럴,860
861,한국,861
862,아닌데,862
863,했었는데,863
864,가보고,864
865,수도,865
866,그런건,866
867,죠,867
868,나고,868
869,가나,869
870,들어요,870
871,관계,871
872,같은거,872
873,볼,873
874,빨리,874
875,해봤는데,875
876,방,876
877,숨,877
878,가격,878
879,대기,879
880,임신,880
881,직업,881
882,눈,882
883,추가,883
884,먹다가,884
885,쉽게,885
886,싫어요,886
887,되지,887
888,아님,888
889,초등학생,889
890,했지만,890
891,과정,891
892,기능,892
893,되는지,893
894,보려고,894
895,누가,895
896,직장,896
897,아직도,897
898,회사,898
899,척,899
900,실,900
901,고등학교,901
902,찾아보니,902
903,힘들,903
904,눈치,904
905,정신질환,905
906,가보려고,906
907,해당,907
908,남자,908
909,먹는데,909
910,의지,910
911,하니까,911
912,탓,912
913,힘드네요,913
914,중학생,914
915,피,915
916,의무,916
917,초등학교,917
918,하더라고요,918
919,있는데요,919
920,전문의,920
921,모르겠고,921
922,일치,922
923,가려고,923
924,사이,924
925,이전,925
926,봤는데,926
927,진지하게,927
928,같은게,928
929,동네,929
930,연기,930
931,질병,931
932,틱장애,932
933,근무,933
934,도와주세요,934
935,먹은지,935
936,봉지,936
937,못자고,937
938,속이,938
939,호흡,939
940,안정,940
941,괜찮은,941
942,먹었습니다,942
943,소아,943
944,아시,944
945,어지럼증,945
946,열심히,946
947,며칠,947
948,몇개,948
949,다니면서,949
950,들었는데,950
951,좋지,951
952,차,952
953,추후,953
954,고통,954
955,내년,955
956,이건,956
957,부탁드려요,957
958,함,958
959,증후군,959
960,훈련소,960
961,의존,961
962,했던,962
963,해주나요,963
964,졸업,964
965,되서,965
966,처리,966
967,원인,967
968,힘든데,968
969,하여,969
970,꽤,970
971,질환,971
972,업무,972
973,입영,973
974,습관,974
975,평생,975
976,나오고,976
977,잠도,977
978,편,978
979,무서워요,979
980,과거,980
981,선,981
982,그러고,982
983,돌,983
984,세상,984
985,욕,985
986,없을,986
987,했을,987
988,조돈,988
989,크게,989
990,맞는,990
991,기준,991
992,난,992
993,타,993
994,심리학,994
995,안되는,995
996,받아야,996
997,몇번,997
998,중이,998
999,공항,999
1000,군,1000
1001,무시,1001
1002,되어서,1002
1003,어디가,1003
1004,들으면,1004
1005,고요,1005
1006,간다,1006
1007,거부,1007
1008,후반,1008
1009,미자,1009
1010,그만,1010
1011,생,1011
1012,이면,1012
1013,있던,1013
1014,보장,1014
1015,알려주시면,1015
1016,병무청,1016
1017,땐,1017
1018,인식,1018
1019,됐습니다,1019
1020,많고,1020
1021,최대한,1021
1022,적도,1022
1023,밖,1023
1024,외,1024
1025,신경안정제,1025
1026,비염,1026
1027,야할까,1027
1028,끊고,1028
1029,는걸,1029
1030,받지,1030
1031,소화,1031
1032,채,1032
1033,완치,1033
1034,도저히,1034
1035,그것,1035
1036,성격,1036
1037,하기도,1037
1038,와서,1038
1039,예요,1039
1040,이라서,1040
1041,해서요,1041
1042,자세히,1042
1043,하네요,1043
1044,작성,1044
1045,의식,1045
1046,싶어,1046
1047,뿐,1047
1048,먹을,1048
1049,서는,1049
1050,심한,1050
1051,오고,1051
1052,퇴사,1052
1053,심각한,1053
1054,배,1054
1055,이상한,1055
1056,필요,1056
1057,언니,1057
1058,다리,1058
1059,많은,1059
1060,있을지,1060
1061,가정,1061
1062,기존,1062
1063,수면장애,1063
1064,점심,1064
1065,완화,1065
1066,없어,1066
1067,받는게,1067
1068,병자,1068
1069,불안해서,1069
1070,생기,1070
1071,않나요,1071
1072,새로,1072
1073,아들,1073
1074,일반,1074
1075,상해,1075
1076,여서,1076
1077,증거,1077
1078,남동생,1078
1079,싶어서요,1079
1080,가능한,1080
1081,옛날,1081
1082,않았는데,1082
1083,요새,1083
1084,자꾸만,1084
1085,제목,1085
1086,먹,1086
1087,힘들게,1087
1088,종류,1088
1089,여쭤,1089
1090,하니,1090
1091,심,1091
1092,라서,1092
1093,있어서요,1093
1094,관,1094
1095,입대,1095
1096,힘들다고,1096
1097,덜,1097
1098,빠른,1098
1099,할거,1099
1100,생길까봐,1100
1101,그러다가,1101
1102,허락,1102
1103,괜히,1103
1104,형,1104
1105,신고,1105
1106,맨날,1106
1107,볼까,1107
1108,생겨서,1108
1109,떨림,1109
1110,차이,1110
1111,그동안,1111
1112,그걸,1112
1113,가장,1113
1114,조,1114
1115,제발,1115
1116,부모,1116
1117,이신,1117
1118,전문,1118
1119,장,1119
1120,하는건,1120
1121,살기,1121
1122,인생,1122
1123,만으로,1123
1124,실수,1124
1125,부정,1125
1126,하며,1126
1127,렉,1127
1128,리튬,1128
1129,보는,1129
1130,정확한,1130
1131,지나면,1131
1132,된다면,1132
1133,의뢰,1133
1134,관리,1134
1135,환청,1135
1136,번째,1136
1137,오라,1137
1138,으로는,1138
1139,맘,1139
1140,사회생활,1140
1141,받게,1141
1142,같다는,1142
1143,클래스,1143
1144,치아,1144
1145,나요,1145
1146,값,1146
1147,제한,1147
1148,받는다면,1148
1149,하셨는데,1149
1150,했는데요,1150
1151,진학,1151
1152,사랑,1152
1153,까지는,1153
1154,그래요,1154
1155,취득,1155
1156,와이프,1156
1157,면제,1157
1158,경험,1158
1159,교수,1159
1160,해주는,1160
1161,임,1161
1162,팔이,1162
1163,정신병원,1163
1164,조금씩,1164
1165,오랜,1165
1166,대학생,1166
1167,정신과상담,1167
1168,보고싶은데,1168
1169,보험사,1169
1170,빌리,1170
1171,파이,1171
1172,용량,1172
1173,이내,1173
1174,유,1174
1175,예민한,1175
1176,찾고,1176
1177,필요한,1177
1178,받았던,1178
1179,충족,1179
1180,병역,1180
1181,년생,1181
1182,안되나요,1182
1183,나왔는데,1183
1184,주치,1184
1185,가정폭력,1185
1186,실손,1186
1187,아리,1187
1188,피졸정,1188
1189,알았는데,1189
1190,굉장히,1190
1191,까지만,1191
1192,분노,1192
1193,인정,1193
1194,놀,1194
1195,생길까,1195
1196,가스,1196
1197,학폭,1197
1198,저렇게,1198
1199,탈,1199
1200,당,1200
1201,지치고,1201
1202,쓰고,1202
1203,있지만,1203
1204,가능하다면,1204
1205,받거나,1205
1206,하는지도,1206
1207,해보니,1207
1208,여러가지,1208
1209,힘듭니다,1209
1210,가게,1210
1211,생일,1211
1212,있어야,1212
1213,피해,1213
1214,하기가,1214
1215,모르게,1215
1216,일도,1216
1217,그러는데,1217
1218,체중,1218
1219,연,1219
1220,한방신,1220
1221,할려고,1221
1222,먹었어요,1222
1223,한지,1223
1224,등급,1224
1225,다니다가,1225
1226,적응,1226
1227,받을수,1227
1228,받으려면,1228
1229,가만히,1229
1230,아프고,1230
1231,콘서타,1231
1232,불량,1232
1233,과민성,1233
1234,대장,1234
1235,불안하고,1235
1236,상관,1236
1237,요청,1237
1238,보이지,1238
1239,통해,1239
1240,메모,1240
1241,싶은데요,1241
1242,들까,1242
1243,리보,1243
1244,트릴,1244
1245,다니던,1245
1246,딸,1246
1247,하려는,1247
1248,받고싶은데,1248
1249,어렸을,1249
1250,뭘,1250
1251,트라린정,1251
1252,중인,1252
1253,아무리,1253
1254,약과,1254
1255,부산,1255
1256,근처,1256
1257,반대,1257
1258,같다고,1258
1259,듣고,1259
1260,아주,1260
1261,거리,1261
1262,알리,1262
1263,발작,1263
1264,자료,1264
1265,설문지,1265
1266,얼굴,1266
1267,정형외과,1267
1268,여성,1268
1269,하시는데,1269
1270,들면,1270
1271,같기도,1271
1272,금액,1272
1273,상이,1273
1274,사는데,1274
1275,아닌거,1275
1276,알려,1276
1277,많아요,1277
1278,추정,1278
1279,우울해서,1279
1280,들면서,1280
1281,면허,1281
1282,테스트,1282
1283,전문가,1283
1284,보이,1284
1285,열,1285
1286,물건,1286
1287,앓고,1287
1288,우울해,1288
1289,남나요,1289
1290,안해,1290
1291,다가,1291
1292,트랜스젠더,1292
1293,형제,1293
1294,봉투,1294
1295,받았는데요,1295
1296,걍,1296
1297,진심,1297
1298,내고,1298
1299,문득,1299
1300,그렇다고,1300
1301,포기,1301
1302,괜찮나요,1302
1303,바꿔,1303
1304,호전,1304
1305,세대,1305
1306,어린,1306
1307,동시,1307
1308,또는,1308
1309,기본,1309
1310,해보고,1310
1311,강박,1311
1312,심해졌어요,1312
1313,통,1313
1314,거절,1314
1315,진,1315
1316,가는데,1316
1317,주나요,1317
1318,과의,1318
1319,받을수있나요,1319
1320,이틀,1320
1321,받았고,1321
1322,미리,1322
1323,있는건,1323
1324,있었습니다,1324
1325,그건,1325
1326,대학교,1326
1327,맨,1327
1328,별,1328
1329,싶고,1329
1330,하신,1330
1331,회피,1331
1332,심해,1332
1333,야할지,1333
1334,국가,1334
1335,하더군요,1335
1336,근,1336
1337,생기나요,1337
1338,생리,1338
1339,죽어,1339
1340,자격,1340
1341,알아서,1341
1342,상처,1342
1343,하는거,1343
1344,있었어요,1344
1345,미래,1345
1346,먹지,1346
1347,본적,1347
1348,끼,1348
1349,음식,1349
1350,의학,1350
1351,벌써,1351
1352,가봤는데,1352
1353,듣는,1353
1354,특히,1354
1355,학교폭력,1355
1356,가해자,1356
1357,귀가,1357
1358,무용,1358
1359,총,1359
1360,일정,1360
1361,전체,1361
1362,나제,1362
1363,네이버,1363
1364,나오나요,1364
1365,세번,1365
1366,중간,1366
1367,인걸,1367
1368,고치,1368
1369,ㅈ,1369
1370,심해지고,1370
1371,필요한가요,1371
1372,다닌지,1372
1373,부부,1373
1374,고해,1374
1375,기관,1375
1376,응급실,1376
1377,하러,1377
1378,신체,1378
1379,된다는,1379
1380,테,1380
1381,오면,1381
1382,갔을,1382
1383,틴정,1383
1384,하진,1384
1385,않아,1385
1386,있음,1386
1387,하였습니다,1387
1388,명,1388
1389,처벌,1389
1390,됐는데,1390
1391,무,1391
1392,떨리고,1392
1393,어쩔,1393
1394,없지만,1394
1395,갈수록,1395
1396,듯,1396
1397,시선,1397
1398,받나요,1398
1399,신정,1399
1400,해주시면,1400
1401,재학,1401
1402,운,1402
1403,달라,1403
1404,어렵고,1404
1405,않은데,1405
1406,하죠,1406
1407,드나,1407
1408,대로,1408
1409,굳이,1409
1410,달이,1410
1411,사람과,1411
1412,유독,1412
1413,진통제,1413
1414,몰라서,1414
1415,직접,1415
1416,떨어지고,1416
1417,환경,1417
1418,되어야,1418
1419,장애인,1419
1420,사고,1420
1421,남으면,1421
1422,와요,1422
1423,두렵습니다,1423
1424,법,1424
1425,비자,1425
1426,전학,1426
1427,감사합니다,1427
1428,모르겠습니다,1428
1429,두렵고,1429
1430,거주,1430
1431,감당,1431
1432,인한,1432
1433,아픈,1433
1434,한두,1434
1435,동행,1435
1436,남는다고,1436
1437,도파민,1437
1438,탄산,1438
1439,한다,1439
1440,취급,1440
1441,유도,1441
1442,식은땀,1442
1443,악화,1443
1444,안나,1444
1445,똑같이,1445
1446,보는게,1446
1447,놈,1447
1448,이러면서,1448
1449,있고요,1449
1450,실제,1450
1451,자부,1451
1452,담금,1452
1453,에프,1453
1454,괜찮아,1454
1455,지내고,1455
1456,않을,1456
1457,비교,1457
1458,있다는,1458
1459,마약,1459
1460,버텨,1460
1461,위로,1461
1462,그나마,1462
1463,억지로,1463
1464,조언,1464
1465,이란,1465
1466,어린이,1466
1467,청주,1467
1468,답답함,1468
1469,대요,1469
1470,이며,1470
1471,해야하는지,1471
1472,좋겠습니다,1472
1473,권,1473
1474,갱신,1474
1475,인해서,1475
1476,끝,1476
1477,아파서,1477
1478,않네요,1478
1479,되게,1479
1480,으로도,1480
1481,의견,1481
1482,들어서요,1482
1483,이혼,1483
1484,재판,1484
1485,같거든요,1485
1486,손목,1486
1487,파,1487
1488,지인,1488
1489,준,1489
1490,ㄱ,1490
1491,하고요,1491
1492,입학,1492
1493,잘못,1493
1494,들어가면,1494
1495,식이장애,1495
1496,가고싶은데,1496
1497,받는데,1497
1498,안됩니다,1498
1499,모르는데,1499
1500,의대,1500
1501,방학,1501
1502,아닐까,1502
1503,도중,1503
1504,이비인후과,1504
1505,하던,1505
1506,나와서,1506
1507,계획,1507
1508,딱히,1508
1509,권유,1509
1510,가보는게,1510
1511,지나서,1511
1512,드는데,1512
1513,될지,1513
1514,소,1514
1515,뉴스,1515
1516,부터는,1516
1517,누군가,1517
1518,갔다가,1518
1519,않아서요,1519
1520,칼,1520
1521,상세,1521
1522,양약,1522
1523,사업,1523
1524,미국,1524
1525,통지서,1525
1526,들어가서,1526
1527,없으면,1527
1528,아래,1528
1529,티,1529
1530,되는지도,1530
1531,확진,1531
1532,같은것도,1532
1533,하려면,1533
1534,하고싶은데,1534
1535,좋을지,1535
1536,상상,1536
1537,어지러움,1537
1538,능력,1538
1539,내시경,1539
1540,기는,1540
1541,긴,1541
1542,신분,1542
1543,가보려하는데,1543
1544,처방전,1544
1545,그러지,1545
1546,에가,1546
1547,있다가,1547
1548,다닐,1548
1549,극,1549
1550,학기,1550
1551,어쩌지,1551
1552,심정,1552
1553,끊으면,1553
1554,피곤해서,1554
1555,정리,1555
1556,심하고,1556
1557,그러네요,1557
1558,치고,1558
1559,내내,1559
1560,비뇨기,1560
1561,중요한,1561
1562,있더라고요,1562
1563,경과,1563
1564,어깨,1564
1565,전혀,1565
1566,나오지,1566
1567,먹은,1567
1568,줄까,1568
1569,두번째,1569
1570,듣기,1570
1571,꼴,1571
1572,않았고,1572
1573,먹고있는,1573
1574,언제나,1574
1575,야하는,1575
1576,금방,1576
1577,가능하다고,1577
1578,된다는데,1578
1579,않으면,1579
1580,초반,1580
1581,심하지,1581
1582,건데,1582
1583,평균,1583
1584,해소,1584
1585,불안해요,1585
1586,억,1586
1587,다운,1587
1588,먹어서,1588
1589,분노조절,1589
1590,임의,1590
1591,무섭고,1591
1592,보기,1592
1593,힘들어서요,1593
1594,자동차,1594
1595,침대,1595
1596,이러는데,1596
1597,다녔는데,1597
1598,되려면,1598
1599,기복,1599
1600,살면서,1600
1601,물어봅니다,1601
1602,했거든요,1602
1603,졸,1603
1604,하는것,1604
1605,낯선,1605
1606,봐요,1606
1607,않을까요,1607
1608,하겠어요,1608
1609,의욕,1609
1610,담배,1610
1611,중단,1611
1612,인천,1612
1613,있게,1613
1614,나옵니다,1614
1615,아파트,1615
1616,지고,1616
1617,올려,1617
1618,모르고,1618
1619,물,1619
1620,심리치료,1620
1621,다니기,1621
1622,받아요,1622
1623,수험생,1623
1624,이다,1624
1625,입시,1625
1626,이러고,1626
1627,아닌가요,1627
1628,아웃,1628
1629,없는건,1629
1630,답답합니다,1630
1631,니깐,1631
1632,되네요,1632
1633,안좋게,1633
1634,주말,1634
1635,그런거,1635
1636,대인관계,1636
1637,고생,1637
1638,해달라고,1638
1639,봐도,1639
1640,다녀도,1640
1641,심각,1641
1642,서로,1642
1643,뭐라고,1643
1644,출산,1644
1645,움,1645
1646,남게,1646
1647,아니지만,1647
1648,대충,1648
1649,물어보고,1649
