customer_id,month,total_month_price,rank
12388,1,753912,Platinum
12388,2,216839,Silver
12388,3,368653,Gold
12388,7,1576853,Vip
12388,9,1443708,Vip
12388,11,500627,Gold
12390,9,961120,Platinum
12391,11,768525,Platinum
12393,1,1117846,Vip
12393,4,736956,Platinum
12393,9,911582,Platinum
12394,5,666127,Platinum
12394,10,1558167,Vip
12395,2,404679,Gold
12395,3,570722,Gold
12395,5,579968,Gold
12395,6,286497,Silver
12395,8,290080,Silver
12395,10,605996,Platinum
12395,11,1350120,Vip
12397,7,2123487,Vip
12397,11,2089017,Vip
12398,10,2859133,Vip
12399,3,503511,Gold
12399,5,840613,Platinum
12399,6,227379,Silver
12399,8,366415,Gold
12401,2,147356,Silver
12402,1,394348,Gold
12403,10,747619,Platinum
12405,7,2989761,Vip
12406,6,2833945,Vip
12406,11,3135999,SVip
12407,3,395572,Gold
12407,4,471365,Gold
12407,7,1593127,Vip
12407,10,525728,Gold
12408,3,1464107,Vip
12408,6,1143506,Vip
12408,9,1122705,Vip
12408,11,1318866,Vip
12409,6,10849975,SVip
12409,9,8505051,SVip
12410,2,1211940,Vip
12412,6,899346,Platinum
12412,7,657667,Platinum
12412,9,587572,Gold
12413,1,837729,Platinum
12413,4,147968,Silver
12413,10,339461,Gold
12414,2,268772,Silver
12414,4,424414,Gold
12414,5,289905,Silver
12415,1,12398529,SVip
12415,2,24512064,SVip
12415,3,29238516,SVip
12415,4,611800,Platinum
12415,5,22184147,SVip
12415,6,40950063,SVip
12415,7,5165357,SVip
12415,8,38247009,SVip
12415,9,5142126,SVip
12415,10,28792653,SVip
12415,11,11108330,SVip
12417,1,565373,Gold
12417,3,716679,Platinum
12417,4,762652,Platinum
12417,6,764208,Platinum
12417,8,1605101,Vip
12417,10,809061,Platinum
12417,12,646288,Platinum
12418,8,1168677,Vip
12420,10,1049481,Vip
12421,1,275222,Silver
12421,6,418383,Gold
12421,8,405116,Gold
12421,11,311983,Gold
12422,1,416898,Gold
12422,6,729545,Platinum
12422,9,258179,Silver
12423,2,336157,Gold
12423,3,607167,Platinum
12423,4,446369,Gold
12423,5,583517,Gold
12423,6,148440,Silver
12423,8,347817,Gold
12423,12,364702,Gold
12424,6,3078158,SVip
12425,9,1358545,Vip
12426,5,1018612,Vip
12427,10,493949,Gold
12427,11,419030,Gold
12428,3,10377561,SVip
12428,4,653262,Platinum
12428,7,1105505,Vip
12428,8,1057784,Vip
12428,11,713778,Platinum
12429,4,765589,Platinum
12429,6,1967199,Vip
12429,11,1582848,Vip
12430,10,448187,Gold
12431,1,672420,Platinum
12431,2,1840032,Vip
12431,5,1655793,Vip
12431,7,1935525,Vip
12431,8,1064112,Vip
12431,10,1767997,Vip
12431,11,1051317,Vip
12432,6,7021121,SVip
12432,10,1822569,Vip
12433,9,4558976,SVip
12433,10,2619657,Vip
12433,11,4970070,SVip
12433,12,4612430,SVip
12434,3,500365,Gold
12434,9,908767,Platinum
12435,3,6955274,SVip
12435,9,6731373,SVip
12436,9,889749,Platinum
12437,1,686439,Platinum
12437,2,1031774,Vip
12437,3,258197,Silver
12437,4,365506,Gold
12437,5,1110539,Vip
12437,6,876866,Platinum
12437,9,974125,Platinum
12437,10,460528,Gold
12437,11,2601093,Vip
12437,12,289993,Silver
12438,7,1555842,Vip
12438,11,3525331,SVip
12442,12,300760,Gold
12444,6,3269109,SVip
12444,8,1323358,Vip
12444,9,983319,Platinum
12444,10,1536509,Vip
12444,11,1637246,Vip
12445,11,233183,Silver
12446,10,1752037,Vip
12447,4,832904,Platinum
12448,10,785638,Platinum
12449,6,1501409,Vip
12449,8,1359856,Vip
12449,9,1901299,Vip
12449,11,2347057,Vip
12450,6,178086,Silver
12450,7,167808,Silver
12451,1,5103303,SVip
12451,5,4174765,SVip
12451,10,4439150,SVip
12451,11,2076868,Vip
12452,11,752636,Platinum
12453,7,1235993,Vip
12454,10,6167538,SVip
12455,2,2969677,Vip
12455,6,462171,Gold
12455,7,235106,Silver
12455,8,137322,Silver
12455,9,507793,Gold
12456,3,1643417,Vip
12456,7,2316502,Vip
12456,10,1600538,Vip
12457,4,1865553,Vip
12457,9,1922153,Vip
12457,10,343219,Gold
12458,2,772476,Platinum
12458,9,883579,Platinum
12461,7,1095786,Vip
12461,9,349600,Gold
12462,2,1332168,Vip
12462,11,747235,Platinum
12463,4,612796,Platinum
12463,5,519820,Gold
12463,6,590544,Gold
12463,10,627514,Platinum
12464,2,636009,Platinum
12464,5,316388,Gold
12464,7,79708,Silver
12464,8,332294,Gold
12464,11,754262,Platinum
12465,6,770763,Platinum
12465,11,526585,Gold
12468,1,385591,Gold
12468,6,889644,Platinum
12471,1,1317030,Vip
12471,2,2334803,Vip
12471,3,1535303,Vip
12471,4,1178658,Vip
12471,5,1540337,Vip
12471,7,1709998,Vip
12471,8,3042953,SVip
12471,9,1160252,Vip
12471,10,4169644,SVip
12471,11,5978160,SVip
12471,12,3912915,SVip
12472,1,1442729,Vip
12472,3,1035130,Vip
12472,6,2214121,Vip
12472,7,1069950,Vip
12472,10,2405999,Vip
12472,11,468603,Gold
12473,6,1156634,Vip
12473,8,898576,Platinum
12473,10,2968069,Vip
12473,11,1842951,Vip
12474,1,1048450,Vip
12474,2,502689,Gold
12474,3,1859295,Vip
12474,5,1342603,Vip
12474,6,825073,Platinum
12474,7,1232759,Vip
12474,9,814008,Platinum
12474,10,3207580,SVip
12474,11,1970048,Vip
12475,10,1264468,Vip
12476,1,960665,Platinum
12476,2,280029,Silver
12476,4,2467599,Vip
12476,5,543977,Gold
12476,7,1305004,Vip
12476,9,932732,Platinum
12476,10,1917835,Vip
12476,11,3485494,SVip
12477,2,4118200,SVip
12477,4,3882342,SVip
12477,8,7441340,SVip
12477,10,4104338,SVip
12477,11,3561882,SVip
12478,12,1190370,Vip
12479,11,921545,Platinum
12480,1,1426805,Vip
12480,3,1347742,Vip
12480,7,974824,Platinum
12480,11,1986916,Vip
12481,1,1054201,Vip
12481,3,1454930,Vip
12481,5,1498525,Vip
12481,6,1750115,Vip
12481,10,2285964,Vip
12481,11,326526,Gold
12483,1,957134,Platinum
12483,4,564604,Gold
12483,5,216926,Silver
12483,6,559272,Gold
12483,9,540918,Gold
12483,10,793941,Platinum
12483,11,710946,Platinum
12484,1,1990395,Vip
12484,6,1989206,Vip
12484,8,2415718,Vip
12484,11,1518435,Vip
12488,9,967325,Platinum
12488,10,374176,Gold
12488,11,928555,Platinum
12489,1,585457,Gold
12490,1,1510656,Vip
12490,5,579462,Gold
12490,6,846136,Platinum
12490,7,721801,Platinum
12490,8,741256,Platinum
12490,9,1810613,Vip
12490,11,2452513,Vip
12490,12,808100,Platinum
12491,11,804779,Platinum
12492,8,220929,Silver
12492,10,239161,Silver
12493,5,406409,Gold
12493,6,351767,Gold
12494,2,437000,Gold
12494,5,704601,Platinum
12494,7,267828,Silver
12494,10,375365,Gold
12494,11,284050,Silver
12497,9,1823338,Vip
12498,10,432193,Gold
12498,11,273474,Silver
12500,1,602955,Platinum
12500,2,653717,Platinum
12500,3,858757,Platinum
12500,6,324498,Gold
12500,8,660744,Platinum
12500,10,3263411,SVip
12500,11,1078585,Vip
12501,1,3792093,SVip
12502,2,1078953,Vip
12502,3,1228494,Vip
12502,5,913504,Platinum
12502,8,1378944,Vip
12502,9,1909427,Vip
12504,11,842623,Platinum
12506,4,128478,Silver
12507,2,779887,Platinum
12507,7,1500920,Vip
12508,11,695494,Platinum
12509,2,308522,Gold
12510,1,1190475,Vip
12510,7,527056,Gold
12512,10,231050,Silver
12513,8,1070282,Vip
12514,3,1778904,Vip
12516,6,1019433,Vip
12516,9,1274047,Vip
12517,6,1310475,Vip
12517,8,1349019,Vip
12517,9,729265,Platinum
12517,11,949076,Platinum
12518,8,567802,Gold
12518,9,917525,Platinum
12518,10,666092,Platinum
12518,11,851206,Platinum
12518,12,592816,Gold
12519,10,578308,Gold
12520,3,2156962,Vip
12520,5,810372,Platinum
12520,7,608810,Platinum
12520,9,1028540,Vip
12521,7,1048240,Vip
12522,10,336874,Gold
12523,1,179956,Silver
12523,2,250663,Silver
12523,3,201177,Silver
12523,4,242535,Silver
12523,7,357903,Gold
12523,8,546791,Gold
12523,9,217416,Silver
12523,10,673364,Platinum
12523,11,458710,Gold
12524,1,589757,Gold
12524,2,918294,Platinum
12524,3,831069,Platinum
12524,5,2613627,Vip
12524,6,505346,Gold
12524,10,1844909,Vip
12524,11,538034,Gold
12526,9,909484,Platinum
12526,10,907701,Platinum
12526,12,484335,Gold
12527,1,231644,Silver
12527,2,266395,Silver
12527,9,111504,Silver
12528,1,862690,Platinum
12528,3,486171,Gold
12528,7,492429,Gold
12528,8,409032,Gold
12528,10,479843,Gold
12528,11,649556,Platinum
12530,1,677175,Platinum
12530,4,729964,Platinum
12530,8,728304,Platinum
12530,10,770221,Platinum
12531,11,218884,Silver
12532,11,611502,Platinum
12534,8,1903886,Vip
12535,6,649294,Platinum
12535,9,602885,Platinum
12536,10,22027998,SVip
12538,11,636184,Platinum
12539,1,5998611,SVip
12539,3,1898310,Vip
12539,11,1836553,Vip
12540,1,2005270,Vip
12540,2,505137,Gold
12540,3,1994048,Vip
12540,5,4696176,SVip
12540,6,625766,Platinum
12540,7,3102717,SVip
12540,8,890326,Platinum
12540,9,2987541,Vip
12540,10,2521087,Vip
12540,11,2555541,Vip
12541,3,546075,Gold
12541,6,391097,Gold
12541,11,777929,Platinum
12544,11,651479,Platinum
12545,3,1098006,Vip
12545,9,650675,Platinum
12546,9,1328829,Vip
12546,10,701472,Platinum
12547,3,278631,Silver
12547,5,84603,Silver
12548,6,166409,Silver
12550,9,1686522,Vip
12552,10,555549,Gold
12552,11,209760,Silver
12553,1,1224141,Vip
12553,2,11012,Silver
12553,3,1180179,Vip
12553,5,616781,Platinum
12553,7,497743,Gold
12553,8,699584,Platinum
12553,10,834757,Platinum
12553,11,905673,Platinum
12553,12,484230,Gold
12556,7,539695,Gold
12556,10,508335,Gold
12557,1,5973125,SVip
12557,3,1428990,Vip
12557,7,7247802,SVip
12557,11,5226520,SVip
12558,12,471890,Gold
12559,1,849720,Platinum
12559,2,132148,Silver
12560,7,2258957,Vip
12560,8,251712,Silver
12560,12,1219579,Vip
12561,2,417509,Gold
12562,5,777790,Platinum
12562,6,891951,Platinum
12562,8,1136200,Vip
12562,9,679342,Platinum
12562,10,897772,Platinum
12562,11,1083585,Vip
12562,12,1143838,Vip
12564,3,798661,Platinum
12565,2,255068,Silver
12566,9,614684,Platinum
12567,2,2161804,Vip
12567,5,1232707,Vip
12567,6,3885419,SVip
12567,8,1487652,Vip
12567,9,1558901,Vip
12567,11,2711672,Vip
12569,4,1392107,Vip
12569,5,643124,Platinum
12569,6,415010,Gold
12569,7,290605,Silver
12569,8,550672,Gold
12569,9,497585,Gold
12569,10,1235346,Vip
12569,11,970611,Platinum
12569,12,1214894,Vip
12571,8,434115,Gold
12571,10,474162,Gold
12572,10,931229,Platinum
12572,12,852464,Platinum
12573,4,280623,Silver
12574,1,381850,Gold
12576,2,466453,Gold
12576,5,270590,Silver
12576,7,418121,Gold
12576,9,481923,Gold
12576,11,662981,Platinum
12577,11,752881,Platinum
12578,1,2811937,Vip
12578,11,2072865,Vip
12579,9,769854,Platinum
12580,4,726643,Platinum
12581,10,345597,Gold
12582,2,358619,Gold
12582,4,535237,Gold
12583,1,1276319,Vip
12583,2,562086,Gold
12583,3,1246061,Vip
12583,5,737586,Platinum
12583,6,1079355,Vip
12583,7,575511,Gold
12583,8,424938,Gold
12583,9,1517316,Vip
12583,10,549221,Gold
12583,11,2048953,Vip
12583,12,1214457,Vip
12584,3,810425,Platinum
12584,6,278124,Silver
12584,7,257130,Silver
12584,8,22287,Silver
12584,9,489090,Gold
12584,10,1155532,Vip
12584,11,724109,Platinum
12584,12,350386,Gold
12585,4,1358633,Vip
12586,11,344251,Gold
12587,12,251712,Silver
12588,10,375645,Gold
12589,7,229862,Silver
12589,11,900534,Platinum
12590,5,17242726,SVip
12591,1,791581,Platinum
12592,5,405186,Gold
12592,9,359738,Gold
12593,5,412528,Gold
12593,8,318310,Gold
12594,1,596068,Gold
12594,2,447488,Gold
12594,3,568974,Gold
12594,4,445809,Gold
12594,5,1026862,Vip
12594,6,75094,Silver
12594,8,1261968,Vip
12594,10,1262755,Vip
12594,11,150188,Silver
12596,4,471872,Gold
12596,10,608863,Platinum
12597,3,902230,Platinum
12597,6,1595329,Vip
12597,10,3804434,SVip
12597,11,360018,Gold
12598,2,1260063,Vip
12598,5,987410,Platinum
12598,7,522022,Gold
12598,9,632356,Platinum
12598,11,1882491,Vip
12599,2,546180,Gold
12599,5,264647,Silver
12599,6,234721,Silver
12599,7,137392,Silver
12599,8,315164,Gold
12599,11,306843,Gold
12600,2,748039,Platinum
12600,3,216891,Silver
12600,4,501466,Gold
12600,5,353550,Gold
12600,7,603462,Platinum
12600,8,481346,Gold
12600,9,494509,Gold
12600,11,663505,Platinum
12601,1,252166,Silver
12601,2,197698,Silver
12601,3,194028,Silver
12601,5,245768,Silver
12601,6,119038,Silver
12602,10,267653,Silver
12603,11,1292121,Vip
12604,3,312018,Gold
12604,9,132288,Silver
12607,10,2760983,Vip
12609,1,503301,Gold
12609,6,896374,Platinum
12609,9,570057,Gold
12610,8,2195925,Vip
12610,10,1040217,Vip
12610,11,433853,Gold
12611,10,2085923,Vip
12612,9,1230661,Vip
12613,3,1436261,Vip
12613,5,1120223,Vip
12613,10,3289491,SVip
12614,3,551668,Gold
12615,6,1109525,Vip
12615,9,1007984,Vip
12615,11,1148348,Vip
12615,12,739141,Platinum
12616,2,446788,Gold
12616,9,800059,Platinum
12617,11,617009,Platinum
12618,11,309937,Gold
12619,3,360053,Gold
12619,4,744088,Platinum
12619,7,1883784,Vip
12619,8,660953,Platinum
12619,9,1176264,Vip
12619,11,1539743,Vip
12620,5,981781,Platinum
12620,9,660149,Platinum
12620,11,699357,Platinum
12621,2,2683599,Vip
12621,3,1678080,Vip
12621,4,2114730,Vip
12621,5,3962943,SVip
12621,6,1194495,Vip
12621,7,980732,Platinum
12621,8,2787727,Vip
12621,9,1862668,Vip
12621,10,1102201,Vip
12621,11,1066769,Vip
12621,12,2076973,Vip
12622,4,314814,Gold
12623,3,533314,Gold
12624,6,524295,Gold
12624,8,596400,Gold
12625,1,3000651,SVip
12625,5,1690665,Vip
12626,1,2227126,Vip
12626,6,1424165,Vip
12626,7,2026036,Vip
12626,8,2667622,Vip
12626,10,2787203,Vip
12626,11,440443,Gold
12627,7,1342498,Vip
12627,8,1993681,Vip
12627,9,1432066,Vip
12627,10,2069142,Vip
12627,11,991081,Platinum
12628,10,583202,Gold
12628,11,415272,Gold
12628,12,376257,Gold
12630,10,1226728,Vip
12630,11,994769,Platinum
12631,10,1119594,Vip
12633,2,1770409,Vip
12633,5,1252844,Vip
12633,8,383161,Gold
12633,10,376222,Gold
12635,7,1195002,Vip
12635,9,1757683,Vip
12637,1,2651156,Vip
12637,3,351819,Gold
12637,4,1169761,Vip
12637,7,1157787,Vip
12637,9,4561231,SVip
12637,10,601311,Platinum
12638,11,1174114,Vip
12639,4,849702,Platinum
12640,9,1336503,Vip
12640,11,716662,Platinum
12641,8,324953,Gold
12642,8,640554,Platinum
12642,10,510346,Gold
12642,11,620277,Platinum
12643,1,1522857,Vip
12643,5,945178,Platinum
12643,6,1276914,Vip
12643,8,2101480,Vip
12644,8,835386,Platinum
12645,1,645536,Platinum
12645,5,750940,Platinum
12645,8,894906,Platinum
12645,11,811631,Platinum
12646,10,1278994,Vip
12646,12,1075509,Vip
12647,3,812295,Platinum
12647,4,613128,Platinum
12647,5,512601,Gold
12647,7,483496,Gold
12647,8,538034,Gold
12647,9,900150,Platinum
12647,11,561370,Gold
12648,7,555951,Gold
12649,5,655500,Platinum
12649,8,434395,Gold
12650,12,549641,Gold
12651,1,199272,Silver
12652,1,1608125,Vip
12653,2,1361866,Vip
12653,7,2500951,Vip
12654,2,291216,Silver
12654,5,299170,Silver
12654,11,461874,Gold
12656,4,946017,Platinum
12656,5,1954963,Vip
12656,8,2029550,Vip
12656,9,1127023,Vip
12656,11,1023891,Vip
12657,9,1081033,Vip
12657,10,74290,Silver
12657,11,1716955,Vip
12658,11,1199215,Vip
12659,11,160256,Silver
12660,11,428434,Gold
12662,2,588551,Gold
12662,3,526847,Gold
12662,4,777545,Platinum
12662,6,862952,Platinum
12662,7,754541,Platinum
12662,8,671092,Platinum
12662,10,911791,Platinum
12662,11,785813,Platinum
12662,12,393212,Gold
12664,1,1156441,Vip
12664,4,1122216,Vip
12664,7,1143017,Vip
12664,9,558660,Gold
12664,10,1127110,Vip
12664,11,1870360,Vip
12664,12,1555720,Vip
12665,1,110124,Silver
12667,10,1083987,Vip
12668,1,1765130,Vip
12668,3,2525510,Vip
12668,11,1542924,Vip
12669,3,1986252,Vip
12669,4,1986252,Vip
12669,7,824059,Platinum
12670,4,1106571,Vip
12670,5,687558,Platinum
12670,9,1062923,Vip
12670,11,2380041,Vip
12672,1,394873,Gold
12673,1,386133,Gold
12673,12,681055,Platinum
12674,5,1025621,Vip
12674,6,681824,Platinum
12674,9,743249,Platinum
12674,11,993912,Platinum
12676,2,890606,Platinum
12676,3,345929,Gold
12676,6,212469,Silver
12676,8,295586,Silver
12676,9,265136,Silver
12676,11,317541,Gold
12678,2,617795,Platinum
12678,3,5668991,SVip
12678,4,234232,Silver
12678,6,3390280,SVip
12678,7,1600224,Vip
12678,8,2579069,Vip
12678,9,696123,Platinum
12678,10,15641034,SVip
12679,3,1388016,Vip
12679,5,196335,Silver
12679,9,164871,Silver
12679,10,196335,Silver
12680,8,544991,Gold
12680,9,527161,Gold
12680,12,436038,Gold
12681,1,5181806,SVip
12681,3,2504551,Vip
12681,4,953656,Platinum
12681,5,1720066,Vip
12681,6,1240922,Vip
12681,7,1943321,Vip
12681,9,1381863,Vip
12681,10,1069968,Vip
12681,11,4402005,SVip
12682,1,1459772,Vip
12682,2,1751041,Vip
12682,3,837991,Platinum
12682,4,1023541,Vip
12682,5,2272749,Vip
12682,6,1372337,Vip
12682,7,1789008,Vip
12682,8,1982371,Vip
12682,9,1012598,Vip
12682,10,745661,Platinum
12682,11,4225615,SVip
12682,12,1112829,Vip
12683,1,1279780,Vip
12683,3,2810923,Vip
12683,5,1772943,Vip
12683,6,1170041,Vip
12683,8,1976900,Vip
12683,9,706733,Platinum
12683,10,1847461,Vip
12683,12,1393995,Vip
12684,5,1603090,Vip
12684,6,808240,Platinum
12684,10,433084,Gold
12684,11,833778,Platinum
12684,12,313591,Gold
12685,9,3197126,SVip
12685,10,1085403,Vip
12685,11,722133,Platinum
12688,8,8519419,SVip
12689,8,893280,Platinum
12689,11,1287541,Vip
12690,5,679989,Platinum
12691,1,395397,Gold
12691,7,262374,Silver
12691,10,529818,Gold
12691,11,308347,Gold
12693,1,283263,Silver
12693,3,419257,Gold
12693,5,400064,Gold
12693,8,393544,Gold
12694,6,768245,Platinum
12694,9,751937,Platinum
12695,5,156009,Silver
12695,8,427648,Gold
12695,10,285098,Silver
12695,12,148754,Silver
12697,6,682594,Platinum
12697,7,600280,Platinum
12697,11,390992,Gold
12700,5,1909567,Vip
12700,7,1846971,Vip
12700,10,2580380,Vip
12700,12,2298183,Vip
12701,4,589215,Gold
12701,9,805181,Platinum
12702,11,382812,Gold
12703,9,495645,Gold
12704,6,576070,Gold
12704,8,1348337,Vip
12704,9,429221,Gold
12704,11,1390726,Vip
12704,12,347432,Gold
12705,4,2309544,Vip
12705,5,1721517,Vip
12705,7,1745238,Vip
12705,9,1472899,Vip
12705,10,1692850,Vip
12705,11,1563935,Vip
12707,2,1054778,Vip
12708,1,497515,Gold
12708,3,494089,Gold
12708,4,353970,Gold
12708,5,650168,Platinum
12708,6,506517,Gold
12708,8,705894,Platinum
12708,9,642162,Platinum
12708,11,548469,Gold
12709,1,1899901,Vip
12709,3,2064737,Vip
12709,4,118864,Silver
12709,5,430147,Gold
12709,6,2141754,Vip
12709,7,2300333,Vip
12709,9,2773219,Vip
12709,10,1401546,Vip
12709,11,1536666,Vip
12710,5,1256742,Vip
12710,7,124807,Silver
12710,9,626937,Platinum
12712,1,438136,Gold
12712,2,549134,Gold
12712,3,908960,Platinum
12712,5,1244663,Vip
12712,6,1096695,Vip
12712,7,1356535,Vip
12712,8,423278,Gold
12712,10,437699,Gold
12712,11,406672,Gold
12713,12,1483265,Vip
12714,2,1692588,Vip
12714,5,1387247,Vip
12714,6,897178,Platinum
12714,8,1948180,Vip
12714,11,2305891,Vip
12715,8,600193,Platinum
12716,7,1184969,Vip
12716,12,656531,Platinum
12717,4,1065825,Vip
12717,7,736327,Platinum
12718,9,416461,Gold
12719,10,495732,Gold
12719,12,631639,Platinum
12720,1,488216,Gold
12720,2,295237,Silver
12720,3,871063,Platinum
12720,4,512583,Gold
12720,5,777650,Platinum
12720,6,484073,Gold
12720,7,642145,Platinum
12720,8,574113,Gold
12720,9,898157,Platinum
12720,10,1268768,Vip
12720,11,1477234,Vip
12720,12,668557,Platinum
12721,2,795374,Platinum
12721,4,640117,Platinum
12721,6,1033225,Vip
12721,9,599389,Gold
12721,11,1073831,Vip
12722,7,529504,Gold
12722,8,1095524,Vip
12722,9,118829,Silver
12723,10,523368,Gold
12723,11,608968,Platinum
12723,12,135085,Silver
12724,1,270765,Silver
12724,6,219304,Silver
12724,9,948831,Platinum
12724,12,364003,Gold
12726,1,701961,Platinum
12726,3,552402,Gold
12726,5,390503,Gold
12726,6,622357,Platinum
12726,9,624595,Platinum
12726,11,1371236,Vip
12727,1,899346,Platinum
12727,2,1607565,Vip
12727,3,1001883,Vip
12727,6,1386303,Vip
12727,9,939200,Platinum
12727,11,1123964,Vip
12728,1,441439,Gold
12728,2,350858,Gold
12728,3,286759,Silver
12728,9,382846,Gold
12729,8,791861,Platinum
12731,1,5548903,SVip
12731,3,4108604,SVip
12731,4,440496,Gold
12731,5,2414512,Vip
12731,6,2376545,Vip
12731,7,3032045,SVip
12731,9,6241059,SVip
12731,10,4376537,SVip
12731,11,2617664,Vip
12732,6,412982,Gold
12733,4,671144,Platinum
12735,1,1362688,Vip
12736,1,409032,Gold
12739,9,1770793,Vip
12740,10,747444,Platinum
12743,7,944147,Platinum
12744,1,3588766,SVip
12744,4,14350345,SVip
12744,7,6903411,SVip
12744,10,12353675,SVip
12747,1,529713,Gold
12747,3,543243,Gold
12747,5,1348249,Vip
12747,6,657772,Platinum
12747,8,527371,Gold
12747,10,1180564,Vip
12747,11,546652,Gold
12747,12,766498,Platinum
12748,1,729125,Platinum
12748,2,667019,Platinum
12748,3,2037066,Vip
12748,4,1862616,Vip
12748,5,3886101,SVip
12748,6,3362487,SVip
12748,7,1890374,Vip
12748,8,1566487,Vip
12748,9,10596638,SVip
12748,10,3844376,SVip
12748,11,18273050,SVip
12748,12,1746252,Vip
12749,5,1501706,Vip
12749,8,3314435,SVip
12749,11,1000887,Vip
12749,12,1333828,Vip
12750,8,482238,Gold
12752,9,7633131,SVip
12753,2,10025199,SVip
12753,3,26744,Silver
12753,4,6291716,SVip
12753,7,6433339,SVip
12753,11,8405223,SVip
12754,2,79656,Silver
12754,3,28055,Silver
12754,4,5155061,SVip
12755,3,30677,Silver
12756,9,195915,Silver
12757,5,7345498,SVip
12757,6,425113,Gold
12757,7,1460716,Vip
12757,10,3247906,SVip
12757,11,1215734,Vip
12758,3,2744692,Vip
12758,8,2135007,Vip
12759,3,777510,Platinum
12759,6,1114734,Vip
12759,10,784712,Platinum
12762,11,806859,Platinum
12762,12,2511753,Vip
12763,7,304152,Gold
12764,1,2960902,Vip
12766,1,1199967,Vip
12766,2,1701940,Vip
12766,4,2108594,Vip
12766,7,1636967,Vip
12766,10,2305629,Vip
12766,12,1255815,Vip
12769,4,1999012,Vip
12770,5,2362334,Vip
12772,10,1560037,Vip
12775,2,374858,Gold
12775,3,412021,Gold
12775,5,515170,Gold
12775,6,733810,Platinum
12775,11,386937,Gold
12778,1,235071,Silver
12778,3,478217,Gold
12778,6,146832,Silver
12778,10,300533,Gold
12778,11,276603,Silver
12779,1,1071908,Vip
12779,2,589425,Gold
12779,3,555479,Gold
12779,4,1233808,Vip
12779,5,1314863,Vip
12779,6,43700,Silver
12779,11,1716448,Vip
12781,2,960106,Platinum
12781,10,485035,Gold
12782,1,1195509,Vip
12782,3,726328,Platinum
12782,7,901478,Platinum
12782,12,440933,Gold
12783,9,592606,Gold
12783,10,2209559,Vip
12783,11,388510,Gold
12783,12,700213,Platinum
12784,11,931369,Platinum
12787,5,276358,Silver
12787,9,326106,Gold
12787,11,208012,Silver
12789,10,160553,Silver
12790,5,567960,Gold
12792,3,700143,Platinum
12793,1,723112,Platinum
12794,9,554116,Gold
12794,10,949880,Platinum
12795,11,752479,Platinum
12798,6,2809105,Vip
12798,10,3003763,SVip
12798,11,6382996,SVip
12802,6,747409,Platinum
12808,6,265608,Silver
12808,11,353620,Gold
12809,6,855313,Platinum
12811,2,419957,Gold
12811,3,480000,Gold
12812,10,401410,Gold
12814,8,220108,Silver
12815,5,1075649,Vip
12815,7,783278,Platinum
12816,6,557000,Gold
12816,9,443205,Gold
12817,3,290237,Silver
12818,3,2695555,Vip
12820,1,297964,Silver
12820,9,380661,Gold
12820,10,600892,Platinum
12820,12,367691,Gold
12821,5,162074,Silver
12822,9,1658642,Vip
12823,2,936054,Platinum
12823,3,802332,Platinum
12823,8,401166,Gold
